#{"t_start": 1667164765.19705, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
873.817986,200,1343.311101
473.246734,200,1344.478594
543.808267,200,1345.636371
52.170042,56,1345.94281
965.899471,200,1347.1466
1106.437122,200,1348.358851
75.161909,85,1348.86658
542.978286,200,1349.993536
442.970825,200,1351.182135
640.069629,200,1352.360106
739.670511,200,1353.615835
259.775901,200,1354.875471
955.770907,200,1356.146506
498.85918,200,1357.380807
414.263171,200,1358.587494
94.599755,104,1359.21076
1110.347487,200,1360.407516
668.526946,200,1955.58567
350.641621,200,1956.911645
935.06592,200,1958.304602
398.083524,149,1959.358265
946.066648,200,1960.645506
884.63191,200,1961.944982
612.759426,200,1963.282222
729.77068,200,1964.584313
994.518442,200,1965.960729
1020.816505,200,1967.321958
956.744147,200,1968.602907
1045.782941,200,1970.039623
694.459294,200,1971.491477
864.640457,200,1972.894338
688.148039,122,1973.794752
664.113671,200,1975.243714
250.266221,200,1976.590401
277.631218,200,1977.989043
991.326882,200,1979.408438
1061.891365,200,1980.837051
810.106557,200,1982.245346
683.757901,200,1983.743755
1090.486331,200,1985.198983
594.787914,200,1986.554171
450.671371,200,1987.892671
814.054181,200,2381.197892
860.138225,200,2382.498761
950.298538,200,2383.866226
1005.14807,200,2385.202461
304.448419,200,2386.540554
1156.509813,200,2387.801367
81.47457,92,2388.406433
112.343637,125,2389.25378
559.367222,200,2390.597762
905.678189,200,2391.943867
422.440351,178,2393.07676
770.823541,200,2394.448321
990.785301,200,2395.831829
154.723269,173,2396.979315
578.753007,200,2398.276758
446.118537,200,2399.505353
854.530616,200,2400.846075
1041.277961,200,2402.148209
898.984388,200,2403.394703
382.046513,200,2404.625107
185.969226,200,2405.872691
853.825126,200,2407.163762
995.71691,200,2408.524051
301.316789,200,2409.781235
689.837108,200,2411.064637
36.973764,41,2799.331224
184.995216,200,2800.557623
1160.617088,200,2801.918276
845.482548,200,2803.23571
981.095739,200,2804.575313
1045.727015,200,2805.925374
192.267506,200,2807.171495
1172.263416,200,2808.443673
564.910495,200,2809.800727
1045.047253,200,2811.140082
1066.37478,200,2812.498473
955.958963,200,2813.870955
333.587426,200,2815.162551
186.006115,200,2816.367533
434.740668,200,2817.638131
865.684255,200,2818.892684
1106.081057,200,2820.162015
739.795596,200,2821.491641
428.177045,118,2822.087059
889.564311,200,2823.326157
699.716674,200,2824.692166
730.183211,200,2826.053224
406.631907,200,2827.348139
116.147978,122,2828.17832
73.718255,84,2828.718453
100.893539,113,3221.782766
1166.894675,200,3223.235732
84.574758,64,3223.672954
1080.40366,200,3225.054951
484.46912,200,3226.440496
904.25855,200,3227.910781
1131.097702,200,3229.286597
587.909144,195,3230.623194
769.962545,200,3232.021313
1157.356615,200,3233.416189
975.608295,200,3234.792778
930.043799,200,3236.210087
800.233464,200,3237.618018
995.980521,200,3238.938763
484.60065,200,3240.328684
850.076293,200,3241.695006
1054.986155,200,3243.119799
126.375568,139,3244.138234
1015.620464,200,3245.595168
980.360229,200,3247.040102
805.358805,200,3248.549793
1020.155248,200,3249.960741
794.41187,200,3251.35061
398.565114,200,3252.594811
556.644268,200,3254.02927
1162.238375,200,3672.008229
920.311409,200,3673.650727
1046.271601,200,3675.285452
87.51686,82,3676.010668
216.896143,200,3677.57962
1186.374302,200,3679.230515
1031.117541,200,3680.907783
125.804727,138,3682.040429
116.255596,126,3683.065195
145.436167,64,3683.568379
303.259454,124,3684.649829
114.39801,124,3685.737664
503.305113,200,3687.40516
844.894637,200,3689.123125
940.542539,200,3690.808362
915.589107,200,3692.517462
181.567467,159,3693.784706
744.76577,200,3695.413621
468.590088,200,3697.029294
749.504521,200,3698.668402
146.702164,163,3699.975987
326.19986,200,3701.610777
344.322294,200,3703.214027
709.997564,200,3704.809759
1086.98235,200,3706.352395
508.363703,200,4346.678141
945.557814,200,4347.919951
462.663741,200,4349.152582
51.611101,57,4349.50236
860.769378,200,4350.734551
639.633001,200,4351.976606
844.577405,200,4353.196395
589.164161,200,4354.37876
1175.821407,200,4355.585248
303.479322,139,4356.427621
724.713161,200,4357.6381
452.81218,200,4358.848242
795.374803,200,4360.109766
950.991356,200,4361.296746
109.521273,74,4361.735166
693.986533,200,4362.923464
454.428941,200,4364.130611
905.222408,200,4365.425247
980.661778,200,4366.657437
413.64313,200,4368.04922
891.369775,200,4369.448248
754.574146,200,4370.890574
709.724035,200,4372.364845
850.185651,200,4374.088536
84.562834,92,4374.739636
86.996107,98,4738.50306
694.54058,200,4739.980179
149.287169,163,4741.162118
195.437538,141,4742.198638
779.748175,200,4743.646518
980.131785,200,4745.095826
990.978988,200,4746.476171
729.740652,200,4747.853026
685.161725,200,4749.182831
159.145577,171,4750.329127
905.458992,200,4751.930441
790.065784,200,4753.424732
1065.861539,200,4755.257442
263.688079,200,4756.921355
765.056505,200,4758.225112
648.812106,200,4759.837151
699.87873,200,4761.502026
193.017589,200,4763.169767
66.281114,50,4763.546298
412.75763,200,4765.046995
469.617689,200,4766.589223
30.071937,34,4766.867131
900.224565,200,4768.492029
563.996139,200,4770.094226
1150.503688,200,4771.777375
911.139428,200,5164.416741
