#{"t_start": 1667215213.704613, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
608.973076,200,67569.656271
551.108487,200,67570.324219
1020.202711,200,67570.993098
609.642029,200,67571.697802
965.232244,200,67572.363757
914.81761,200,67573.039816
178.749687,200,67573.710377
762.57646,200,67574.375349
647.456387,200,67575.049557
683.209631,200,67575.72021
554.80034,200,67576.393443
833.36565,200,67577.057596
190.423455,116,67577.441287
1060.783478,200,67578.115028
663.632037,200,67578.776706
743.214849,200,67579.453691
923.571172,200,67580.139301
476.053286,200,67580.838491
1046.118046,200,67581.515599
858.755878,200,67582.206112
580.853362,200,67582.885759
632.206977,200,67583.569669
934.946657,200,67584.257548
514.079813,200,67584.953091
1165.691779,200,67585.651004
677.058195,200,67586.344672
1046.587453,200,67587.022201
375.238792,200,67587.70227
539.999657,200,67588.377026
287.932711,200,67589.068342
323.883187,200,67589.74433
1034.925635,200,67590.434963
757.106548,200,67691.977047
238.107987,200,67692.628666
504.276033,200,67693.296661
635.38428,200,67693.970645
753.201965,200,67694.660403
799.619886,200,67695.31943
124.78667,133,67695.766274
368.92468,200,67696.429667
571.242933,200,67697.109599
1102.103568,200,67697.769733
1071.492911,200,67698.459251
484.807814,200,67699.122825
1035.385907,200,67699.793943
384.121075,200,67700.471003
990.799912,200,67701.153591
968.800196,200,67701.815567
756.716805,200,67702.478129
1171.461126,200,67703.163333
493.895992,195,67703.802179
667.735047,200,67704.46261
741.232851,200,67705.126031
1011.295004,200,67705.804684
309.740014,200,67706.487751
369.150005,200,67707.151547
643.48819,200,67707.828436
716.552421,200,67708.495093
772.412296,200,67709.157768
864.517596,200,67709.825719
214.417866,200,67710.496917
793.026903,200,67711.181715
582.749785,200,67711.848899
400.407394,200,67712.519429
695.443614,200,67713.199474
1040.04631,200,67713.883614
1031.173836,200,67714.588119
1045.775621,200,67715.272393
779.819317,200,67715.985333
752.571004,200,67716.688503
420.511836,172,67717.295066
356.054371,200,67717.9986
843.455684,200,67718.705447
739.574863,200,67719.393883
864.388004,200,67720.089118
1081.466912,200,67720.791592
940.061856,200,67721.4821
193.952055,200,67722.17536
633.146579,200,67722.849164
1076.67901,200,67723.560874
681.480528,200,67724.352553
969.634999,200,67725.137969
150.576107,164,67789.348904
1039.943789,200,67790.014807
884.049555,200,67790.697806
1150.660184,200,67791.375384
549.117403,200,67792.05145
531.30759,200,67792.715325
693.008168,200,67793.399893
1005.110557,200,67794.0488
562.598119,200,67794.68914
180.272205,200,67795.357646
57.915475,64,67795.56711
1050.414847,200,67796.234843
543.019013,200,67796.920988
506.531565,200,67797.589602
183.465313,200,67798.260972
692.448405,200,67798.916726
448.973078,200,67799.592795
563.605629,200,67800.267909
577.890658,200,67800.936783
413.432136,200,67801.59721
1183.13916,200,67802.285189
671.261815,200,67802.961848
699.728314,200,67803.606606
974.621295,200,67804.259443
581.273453,200,67804.918299
583.595023,200,67805.56891
347.526782,200,67806.223916
363.757866,182,67806.834325
801.524312,200,67807.522578
54.952199,61,67807.729507
570.594593,200,67808.422116
889.730871,200,67809.128193
652.801123,200,67809.821049
84.297361,64,67810.040479
1152.525592,200,67810.754475
104.136866,58,67810.959887
280.915723,200,67811.643217
194.536217,85,67811.94126
1086.747009,200,67812.655485
249.90806,200,67813.352853
439.658988,200,67814.061691
1076.518188,200,67814.759276
283.73899,200,67815.464308
193.040859,200,67816.165692
297.096,200,67816.878915
1065.964063,200,67817.606672
443.312782,200,67818.314097
801.793771,200,67819.013892
868.148439,200,67819.791257
894.068371,200,67820.599374
449.214112,200,67922.078123
1170.706285,200,67922.739583
555.023817,200,67923.400341
646.595071,200,67924.076523
309.1578,200,67924.763377
1000.750082,200,67925.441062
1050.958845,200,67926.118067
414.893224,200,67926.768733
1111.298075,200,67927.471937
180.602806,200,67928.149013
606.922886,200,67928.821234
863.272645,200,67929.505481
180.782764,200,67930.171367
939.376858,200,67930.843912
844.313769,200,67931.505166
818.505671,200,67932.173532
739.878328,200,67932.840087
824.802007,200,67933.522135
323.67837,200,67934.177449
1050.971331,200,67934.85237
823.597912,200,67935.514271
654.315838,200,67936.186935
353.832186,200,67936.859722
117.791627,128,67937.300736
893.299033,200,67937.98188
766.842581,200,67938.669167
212.129205,129,67939.10202
1081.781945,200,67939.78647
1055.677223,200,67940.45048
45.784356,51,67940.62566
1000.773898,200,67941.296336
1076.666034,200,67941.982648
1156.167896,200,67942.661129
1140.018653,200,67943.370803
1155.062672,200,67944.106578
284.889236,170,67944.689552
714.748768,200,67945.373524
1020.311967,200,67946.062562
1141.634941,200,67946.76544
656.440079,200,67947.458403
103.153965,78,67947.727157
824.972627,200,67948.427464
729.922899,200,67949.10418
793.408271,200,67949.794187
399.626905,200,67950.491102
484.972686,200,67951.16735
476.545212,200,67951.841688
548.787405,200,67952.512794
