#{"t_start": 1667082289.125519, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
68.88282,76,19411.342907
73.092762,82,19411.955953
288.594723,200,19413.29442
1045.648598,200,19414.536536
1041.739582,200,19415.758259
68.102137,75,19416.249924
579.29864,166,19417.353399
644.689348,200,19418.678984
317.90915,149,19419.550844
138.105583,104,19420.148695
926.515147,200,19421.502369
149.135889,131,19422.412241
381.16323,200,19423.62547
824.278417,200,19424.847831
511.107924,131,19425.700976
403.276635,200,19426.939784
263.596398,200,19428.045094
960.689869,200,19429.266873
92.51042,78,19429.85376
75.838193,61,19430.307362
537.766009,200,19431.915843
104.790073,84,20186.428801
864.914516,200,20187.913531
1040.526513,200,20189.311671
92.319086,66,20189.749198
854.409959,200,20190.911098
48.762993,55,20191.238657
184.353203,200,20192.459464
403.064581,200,20193.671424
372.885511,200,20194.902259
80.844972,92,20195.502471
75.282187,81,20196.047205
95.861596,106,20196.685998
237.401136,200,20197.931916
200.951506,200,20199.088681
225.339167,200,20200.426375
307.938156,97,20201.044256
466.617603,200,20202.426091
90.261952,38,20202.693379
416.178631,163,20203.706795
604.719813,200,20205.000031
62.68193,69,20205.468593
357.129647,200,20206.652796
1022.391073,200,20207.828229
700.259094,200,20208.991545
223.927047,115,20209.667387
829.91618,200,20954.126992
161.370622,97,20954.729832
960.74682,200,20956.025222
54.057786,61,20956.431465
415.316674,146,20957.554601
88.104266,97,20958.138159
830.420493,200,20959.364712
594.766788,200,20960.607398
1186.200366,200,20961.870493
484.83793,200,20963.072125
260.953314,118,20963.905072
1149.978739,200,20965.058992
719.578056,200,20966.405685
85.539189,93,20966.955437
64.371312,73,20967.459304
85.874312,94,20968.139773
98.874741,106,20968.950433
74.234318,80,20969.551841
1060.961128,200,20971.075896
433.067887,200,20972.594489
625.089424,200,20973.978397
343.136808,200,20975.139931
49.413954,54,20975.47421
995.340584,200,20976.806996
610.492955,193,20978.020471
614.154808,200,21726.955683
577.542412,200,21728.186996
75.220534,82,21728.746657
46.801508,50,21729.132642
775.066208,200,21730.514931
1166.331262,200,21731.832814
1066.561467,200,21733.160574
1186.630067,200,21734.42598
67.747872,72,21734.868165
335.738077,200,21736.113282
743.790118,200,21737.260967
283.975466,200,21738.54974
290.54831,200,21739.720835
1171.012682,200,21740.962626
573.239205,200,21742.201119
118.883694,83,21742.863983
210.408585,200,21744.029998
830.313499,200,21745.34799
816.059154,200,21746.625026
33.142469,36,21746.854386
900.448532,200,21748.080955
1015.443137,200,21749.573706
257.529031,200,21750.733794
679.534037,200,21751.908714
309.18938,200,21753.099869
385.511056,178,22496.245083
170.326892,182,22497.419497
709.596675,200,22498.672841
1161.032358,200,22499.87566
552.49656,200,22501.073608
750.564425,200,22502.369607
980.856665,200,22503.658822
39.744791,44,22503.937976
881.426592,200,22505.22352
457.150989,200,22506.483679
980.468411,200,22507.772988
422.029253,200,22508.9744
682.73478,200,22510.378333
533.912764,144,22511.271838
1105.879429,200,22512.451973
941.189567,200,22513.848632
334.374735,200,22515.014081
165.369108,110,22515.678434
1180.691975,200,22516.971049
301.446937,200,22518.334288
184.042165,200,22519.818982
224.750923,200,22521.264746
929.916247,200,22522.527701
879.957809,200,22523.776944
378.280403,200,22525.068077
241.58528,200,23267.14688
181.292007,193,23268.337577
554.466033,200,23269.48754
183.937664,200,23270.634242
745.310876,200,23271.974381
855.424069,200,23273.367785
378.927411,200,23274.631334
93.581647,63,23275.034167
205.210543,173,23276.080098
124.641221,139,23276.895423
980.787591,200,23278.1822
909.349295,200,23279.468595
1025.318613,200,23280.789164
649.961707,200,23282.048627
651.847911,200,23283.184238
37.499979,43,23283.428742
618.116109,164,23284.368902
301.079004,90,23284.887967
624.319071,200,23285.999706
1186.615645,200,23287.096037
219.112055,151,23288.00411
90.70537,75,23288.563292
199.339783,200,23289.938145
955.250859,200,23290.990197
379.761895,104,23291.550322
619.171014,200,24034.900014
1009.942486,200,24036.132809
725.444773,200,24037.364388
323.213449,200,24038.524204
404.188055,200,24039.660389
72.167845,80,24040.164047
865.234317,200,24041.471295
1004.977983,200,24042.898613
140.371697,144,24043.774824
1186.198379,200,24044.932439
652.297229,200,24046.144059
674.99626,200,24047.407433
396.582452,200,24048.53319
879.536541,200,24049.592713
365.707413,126,24050.324689
408.664889,87,24050.846912
738.304992,184,24051.898508
266.273244,190,24052.998526
634.256919,200,24054.103242
716.204145,184,24055.190043
102.139723,87,24055.690359
194.348439,200,24056.989617
349.113188,182,24058.101102
48.313278,53,24058.41904
679.040025,200,24059.666014
58.273248,63,24801.669123
42.14695,47,24802.047184
100.645419,109,24802.730314
1096.433347,200,24804.043893
955.12235,200,24805.362533
85.239943,72,24805.791234
950.609275,200,24807.038916
1011.349574,200,24808.300773
1011.345701,200,24809.411442
945.571144,200,24810.447216
402.740408,139,24811.172763
768.894551,200,24812.412862
290.853828,74,24812.794765
449.01371,200,24813.890783
541.677487,184,24815.075354
194.6181,200,24816.192497
243.8939,200,24817.373461
254.679621,200,24818.45767
184.641263,200,24819.686513
63.970747,53,24820.001631
220.513173,200,24821.453329
67.328362,72,24821.973432
184.458223,200,24823.201115
430.192049,109,24823.861841
689.558676,200,24825.078662
200.324999,200,25577.578907
255.718119,121,25578.423301
945.088636,200,25579.794745
186.835612,200,25581.123741
51.423366,57,25581.436841
1027.106412,200,25582.520746
430.043652,200,25583.685242
97.734626,72,25584.104733
184.805631,200,25585.164572
588.815077,200,25586.345063
431.348404,179,25587.343571
214.814322,200,25588.416818
183.943644,200,25589.730809
1136.273689,200,25590.973694
302.172234,200,25592.317868
488.952447,200,25593.463343
323.478047,61,25593.796212
106.449064,102,25594.347735
559.081763,200,25595.44854
401.433298,200,25596.568411
1189.881477,200,25597.733525
600.388661,200,25598.919667
203.832215,200,25599.878695
569.886312,200,25601.148316
626.073312,199,25602.505683
619.730035,200,26345.046255
531.049632,141,26345.929893
459.521262,200,26347.068786
