#{"t_start": 1667322541.029377, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
1106.65295,200,1108.372174
1104.265509,200,1110.837389
201.533024,51,1111.475268
337.067962,200,1113.937657
670.438367,200,1116.519382
807.85364,200,1118.986959
662.862973,200,1121.438133
291.381704,200,1123.965376
649.505207,200,1126.527167
791.888905,200,1129.018738
605.392304,200,1131.8811
315.144243,200,1134.610658
471.164109,200,1137.332633
133.899851,149,1139.433682
949.918003,200,1142.247784
626.017152,200,1144.927422
660.396907,200,1147.509416
876.44027,200,1150.156715
687.352671,200,1152.610999
940.345072,200,1155.080714
281.01163,124,1156.641891
710.601843,200,1159.195551
851.819702,200,1161.599025
688.886648,200,1163.959305
657.630553,200,1166.487288
947.934214,200,1168.942132
998.961898,200,1171.437236
507.534247,200,1174.05125
631.39964,200,1176.522543
445.112818,200,1179.004734
815.328748,200,1181.460161
1025.385977,200,1183.982353
32.793319,40,1184.478139
37.67001,45,1302.5749.239692.714769,200,1305.519.0095648.450873,199,1307901.55892476.753218,200,1301061.50771970.215311,200,13121029.8988552.36057,200,1314.935944
213.913797,167,1316.165.4685575.611283,200,1319.632.9099556.040127,200,1321.698.0909402.560494,152,1323.668.5651841.557659,200,1326.284323
485.890282,200,1328.762426
555.376901,200,1331.274502
906.507328,200,1333.725143
683.307725,200,1336.159557
1048.413391,200,1338.654428
511.572592,194,1341.096684
770.01552,200,1344.079152
1161.822481,200,1347.125751
475.451947,200,1350.256284
646.134797,200,1352.885621
758.265564,200,1355.327097
134.387981,65,1356.208923
906.479852,200,1358.673694
1054.437858,200,1361.143309
381.41567,200,1363.578877
574.188993,171,1365.776438
268.611621,200,1368.220159
455.172.489914,200,1369.9702773.670.458076,200,1372.525106.9865.419752,200,1374.940353.572.776625,200,1377.3480836763.820495,200,1379.766615
163.985894,200,1382.315961
1015.471783,200,1384.774344
71.291362,90,1385.868584
711.188818,200,1388.350306
589.507478,200,1390.973013
1137.457376,200,1393.462758
849.635407,200,1395.926696
494.637821,200,1398.564305
684.165741,200,1401.66956
212.880991,200,1404.720114
588.33792,200,1407.771659
461.969653,200,1410.237367
35.05607.960921,200,1412.4303.01702.472646,200,1414.97175.36313.107111,200,1417.39629.63923.46586,200,1419.872585.239.741078,144,1421.6467189.880.490276,200,1424.1344338.295.194977,200,1426.5799770767.900028,200,1429.07236796524.391295,200,1431.58301177894.161613,200,1434.0476272.644.677295,200,1436.5030820.1022.065565,200,1438.913166.281156,200,1439.754984
819.309063,200,1442.187255
939.538998,200,1444.630038
1174.547136,200,1447.100051161037.189772,200,1449.557527101071.721263,200,1452.02267225266.792196,200,1454.476873724.022887,200,1457.1422331125.123498,153,1459.46313111075.541202,200,1462.5439377630.814118,200,1465.66365291796.274287,200,1468.28467253980.699873,200,1470.68846511689.288871,200,1473.12214491709.387379,200,1475.565523891076.029371,200,1478.0037892203.217596,200,1480.49380274604.915709,200,1483.046138
379.69687,168,1485.08511854715.306172,200,1487.52143101399.805824,200,1490.03659106176.03039,200,1492.51153769627.447544,200,1494.941663495.740634,200,1497.44094194510.188334,200,1499.75510673810.856709,200,1502.15612652723.70386,200,1504.6131898080.785965,99,526.137751,20531.459332,200,754.625044,201029.689343,200473.010609,200830.810465,200542.907031,200341.489533,149638.348377,19495.59417,116,1874.841074,200,1631.894773
677.999268,200,1634.35202
